Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
1,JAA,1,5988,Ciudad,Artigas No377 - Clínica Municipal,395,S,Urbano,planes_circuitales\Salto.pdf
2,JAA,5989,7020,Ciudad,Juan C. Gómez No351 - Esc. de Adm. y Servicios,395,S,Urbano,planes_circuitales\Salto.pdf
3,JAA,7021,7795,Ciudad,Juan C. Gómez No351 - Esc. de Adm. y Servicios,395,S,Urbano,planes_circuitales\Salto.pdf
4,JAA,7796,8509,Ciudad,José P. Varela No441 - I.T.S.,395,S,Urbano,planes_circuitales\Salto.pdf
5,JAA,8510,9028,Ciudad,José P. Varela No441 - I.T.S.,395,S,Urbano,planes_circuitales\Salto.pdf
6,JAA,9029,9511,Ciudad,Artigas No501 - Escuela No4,395,S,Urbano,planes_circuitales\Salto.pdf
7,JAA,9512,9955,Ciudad,Artigas No543 - Colegio Salesianos,395,N,Urbano,planes_circuitales\Salto.pdf
8,JAA,9956,10390,Ciudad,Artigas No543 - Colegio Salesianos,398,N,Urbano,planes_circuitales\Salto.pdf
9,JAB,1,5504,Ciudad,Artigas y Larrañaga - Escuela No1,379,S,Urbano,planes_circuitales\Salto.pdf
10,JAB,5505,6663,Ciudad,Artigas y Larrañaga - Escuela No1,379,S,Urbano,planes_circuitales\Salto.pdf
11,JAB,6664,7676,Ciudad,Artigas y Larrañaga - Escuela No1,379,S,Urbano,planes_circuitales\Salto.pdf
12,JAB,7677,8399,Ciudad,Artigas y Larrañaga - Escuela No1,379,S,Urbano,planes_circuitales\Salto.pdf
13,JAB,8400,9098,Ciudad,Artigas No728 - Ctro. Est. ANGLO,379,N,Urbano,planes_circuitales\Salto.pdf
14,JAB,9099,9664,Ciudad,Artigas No728 - Ctro. Est. ANGLO,379,N,Urbano,planes_circuitales\Salto.pdf
15,JAB,9665,10131,Ciudad,Artigas No838 - Colegio Los Robles,379,N,Urbano,planes_circuitales\Salto.pdf
16,JAB,10132,10556,Ciudad,Artigas No838 - Colegio Los Robles,380,N,Urbano,planes_circuitales\Salto.pdf
17,JAC,1,4198,Ciudad,Artigas y 25 de Agosto - Biblioteca Municipal,361,S,Urbano,planes_circuitales\Salto.pdf
18,JAC,4199,5539,Ciudad,Artigas y 25 de Agosto - Biblioteca Municipal,361,S,Urbano,planes_circuitales\Salto.pdf
19,JAC,5540,6332,Ciudad,Rivera No1350 - CENUR Litoral Norte,361,S,Urbano,planes_circuitales\Salto.pdf
20,JAC,6333,6957,Ciudad,Rivera No1350 - CENUR Litoral Norte,361,S,Urbano,planes_circuitales\Salto.pdf
21,JAC,6958,7503,Ciudad,Artigas No1251 - Universidad Católica,361,N,Urbano,planes_circuitales\Salto.pdf
22,JAC,7504,7981,Ciudad,Artigas No1251 - Universidad Católica,361,N,Urbano,planes_circuitales\Salto.pdf
23,JAC,7982,8394,Ciudad,Uruguay y Misiones - Colegio Sagrada Familia,361,S,Urbano,planes_circuitales\Salto.pdf
24,JAC,8395,8781,Ciudad,Uruguay y Misiones - Colegio Sagrada Familia,364,S,Urbano,planes_circuitales\Salto.pdf
25,JAD,1,4279,Ciudad,Artigas y Bortagaray - Liceo No1,375,S,Urbano,planes_circuitales\Salto.pdf
26,JAD,4280,5350,Ciudad,Artigas y Bortagaray - Liceo No1,375,S,Urbano,planes_circuitales\Salto.pdf
27,JAD,5351,6198,Ciudad,Artigas y Bortagaray - Liceo No1,375,S,Urbano,planes_circuitales\Salto.pdf
28,JAD,6199,6893,Ciudad,Artigas y Bortagaray - Liceo No1,375,S,Urbano,planes_circuitales\Salto.pdf
29,JAD,6894,7485,Ciudad,Artigas y Bortagaray - Liceo No1,375,S,Urbano,planes_circuitales\Salto.pdf
30,JAD,7486,7996,Ciudad,Artigas y Piedras - Hogar Estudiantil,375,S,Urbano,planes_circuitales\Salto.pdf
31,JAD,7997,8441,Ciudad,Artigas y Piedras - Hogar Estudiantil,375,S,Urbano,planes_circuitales\Salto.pdf
32,JAD,8442,8849,Ciudad,Piedras No69 - Colegio María Auxiliadora,375,N,Urbano,planes_circuitales\Salto.pdf
33,JAD,8850,9245,Ciudad,Piedras No69 - Colegio María Auxiliadora,381,N,Urbano,planes_circuitales\Salto.pdf
35,JAE,4584,5891,Ciudad,Gobernador de Viana No349 - Escuela No99,393,S,Urbano,planes_circuitales\Salto.pdf
36,JAE,5892,6877,Ciudad,Gobernador de Viana No349 - Escuela No99,393,S,Urbano,planes_circuitales\Salto.pdf
37,JAE,6878,7903,Ciudad,Gobernador de Viana No349 - Escuela No99,393,S,Urbano,planes_circuitales\Salto.pdf
38,JAE,7904,8832,Ciudad,Elías Pascale No385 - Obra Don Calabria,393,S,Urbano,planes_circuitales\Salto.pdf
39,JAE,8833,9667,Ciudad,Elías Pascale No385 - Obra Don Calabria,393,S,Urbano,planes_circuitales\Salto.pdf
40,JAE,9668,10393,Ciudad,E. Prati y José P. Varela - Escuela No88,393,N,Urbano,planes_circuitales\Salto.pdf
41,JAE,10394,11109,Ciudad,E. Prati y José P. Varela - Escuela No88,393,N,Urbano,planes_circuitales\Salto.pdf
42,JAE,11110,11738,Ciudad,E. Prati y José P. Varela - Escuela No88,393,N,Urbano,planes_circuitales\Salto.pdf
43,JAE,11739,12372,Ciudad,"José P. Varela No2704 - Caif ""KAREN""",393,S,Urbano,planes_circuitales\Salto.pdf
44,JAE,12373,12971,Ciudad,Av. Batlle y Diag. Centenario - Colegio Santa Cruz,393,S,Urbano,planes_circuitales\Salto.pdf
45,JAE,12972,13563,Ciudad,Av. Batlle y Diag. Centenario - Colegio Santa Cruz,393,S,Urbano,planes_circuitales\Salto.pdf
46,JAE,13564,14123,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
47,JAE,14124,14629,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
48,JAE,14630,15113,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
49,JAE,15114,15589,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
50,JAE,15590,16054,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
51,JAE,16055,16507,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
52,JAE,16508,16931,Ciudad,Agraciada y San Eugenio - Liceo No3,393,S,Urbano,planes_circuitales\Salto.pdf
53,JAE,16932,17359,Ciudad,Av. Batlle y Bella Unión - Escuela No97,393,S,Urbano,planes_circuitales\Salto.pdf
54,JAE,17360,17779,Ciudad,Av. Batlle y Bella Unión - Escuela No97,393,S,Urbano,planes_circuitales\Salto.pdf
55,JAE,17780,18211,Ciudad,Av. Batlle y Bella Unión - Escuela No97,397,S,Urbano,planes_circuitales\Salto.pdf
56,JBA,1,4828,Ciudad,Uruguay No329 - I.F.D.,410,S,Urbano,planes_circuitales\Salto.pdf
57,JBA,4829,5890,Ciudad,Uruguay No329 - I.F.D.,410,S,Urbano,planes_circuitales\Salto.pdf
58,JBA,5891,6642,Ciudad,Uruguay No364 - Centro Dtal. de Salud,410,N,Urbano,planes_circuitales\Salto.pdf
59,JBA,6643,7328,Ciudad,Av. Barbieri No355 - Jardín No103,410,S,Urbano,planes_circuitales\Salto.pdf
60,JBA,7329,7881,Ciudad,Av. Barbieri No355 - Jardín No103,410,S,Urbano,planes_circuitales\Salto.pdf
61,JBA,7882,8406,Ciudad,J. Delgado y D. Lamas - Escuela No5,400,S,Urbano,planes_circuitales\Salto.pdf
62,JBA,8407,8874,Ciudad,J. Delgado y D. Lamas - Escuela No5,400,S,Urbano,planes_circuitales\Salto.pdf
63,JBA,8875,9328,Ciudad,J. Delgado y D. Lamas - Escuela No5,400,S,Urbano,planes_circuitales\Salto.pdf
64,JBA,9329,9762,Ciudad,J. Delgado y D. Lamas - Escuela No5,400,S,Urbano,planes_circuitales\Salto.pdf
